,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,pIC50,MW,logP,numHd,numHa
4322,CHEMBL2234539,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1OC)CCCCC3,21877.62,inactive,4.659999925349902,405.4980000000003,4.641620000000003,1,6
4323,CHEMBL2234538,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(C)cc1)CCCCC3,12882.5,inactive,4.889999848866887,389.49900000000025,4.941440000000004,1,5
4324,CHEMBL400675,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1cccc([N+](=O)[O-])c1)CCCC3,933.25,active,6.030002001401658,406.44200000000023,4.151120000000002,1,7
4326,CHEMBL252380,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(F)cc1)CCCC3,707.95,active,6.149997413907539,379.4350000000002,4.3820200000000025,1,5
4332,CHEMBL253386,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCC3,812.83,active,6.090000275786018,361.44500000000016,4.242920000000003,1,5
4333,CHEMBL2297277,CC(C)=CCC/C(C)=C/Cc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)c(O)cc1O,16210.0,inactive,4.790216985151485,422.4770000000001,5.517600000000007,4,6
4334,CHEMBL2297278,COc1cc(O)c(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1C/C=C(\C)CCC=C(C)C,10950.0,inactive,4.960585880823863,436.5040000000003,5.820600000000003,3,6
4335,CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,12.0,active,7.920818753952375,270.24,2.576800000000001,3,5
4336,CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,12.0,active,7.920818753952375,286.23900000000003,2.282400000000001,4,6
4337,CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,12.0,active,7.920818753952375,318.237,1.6935999999999998,6,8
4338,CHEMBL309490,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,12.0,active,7.920818753952375,270.24,2.576800000000001,3,5
4339,CHEMBL2297279,O=c1c(OC2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,12.0,active,7.920818753952375,448.3800000000002,-0.24449999999999966,7,11
4340,CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,12.0,active,7.920818753952375,610.5210000000004,-1.6871000000000003,10,16
4342,CHEMBL2297280,COc1cc2occ(-c3ccc(OC4CCN(Cc5ccccc5)CC4)cc3)c(=O)c2cc1OC,93.0,active,7.031517051446065,471.5530000000002,5.520600000000005,0,6
